Year,Month,City,Item,Price
2023,3,Bahawalpur,Bananas (Kela) Local,252.32
2023,3,Bahawalpur,Beef with Bone (Average Quality),632.89
2023,3,Bahawalpur,Bread plain (Small Size),100.0
2023,3,Bahawalpur,Chicken Farm Broiler (Live),355.45
2023,3,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,215.0
2023,3,Bahawalpur,Cigarettes Capstan 20'S Packet,220.0
2023,3,Bahawalpur,Cooked Beef at Average Hotel,220.0
2023,3,Bahawalpur,Cooked Daal at Average Hotel,112.92
2023,3,Bahawalpur,"Cooking Oil DALDA or Other Similar Brand (SN), 5 Litre Tin",3359.98
2023,3,Bahawalpur,Curd (Dahi) Loose,146.59
2023,3,Bahawalpur,Eggs Hen (Farm),233.8
2023,3,Bahawalpur,Electricity Charges upto 50 Units,6.47
2023,3,Bahawalpur,Energy Saver Philips 14 Watt,200.0
2023,3,Bahawalpur,Firewood Whole,1200.0
2023,3,Bahawalpur,Garlic (Lehsun),423.54
2023,3,Bahawalpur,Gas Charges upto 3.3719 MMBTU,295.0
2023,3,Bahawalpur,Gents Sandal Bata,1499.0
2023,3,Bahawalpur,Gents Sponge Chappal Bata,379.0
2023,3,Bahawalpur,Georgette (Average Quality),175.68
2023,3,Bahawalpur,Gur (Average Quality),133.25
2023,3,Bahawalpur,Hi-Speed Diesel,288.89
2023,3,Bahawalpur,LPG 11.67 kg Cylinder,3210.94
2023,3,Bahawalpur,Ladies Sandal Bata,699.0
2023,3,Bahawalpur,Lawn Printed Gul Ahmed/Al Karam,506.66
2023,3,Bahawalpur,"Long Cloth 57"" Gul Ahmed/Al Karam",400.67
2023,3,Bahawalpur,Match Box,5.58
2023,3,Bahawalpur,Milk fresh (Un-boiled),120.0
2023,3,Bahawalpur,Mustard Oil (Average Quality),553.31
2023,3,Bahawalpur,Mutton (Average Quality),1396.61
2023,3,Bahawalpur,Onions,134.02
2023,3,Bahawalpur,Petrol Super,271.22
2023,3,Bahawalpur,Potatoes,55.78
2023,3,Bahawalpur,Powdered Milk NIDO 390 gm Polybag,680.0
2023,3,Bahawalpur,Pulse Gram,258.43
2023,3,Bahawalpur,Pulse Mash (Washed),424.59
2023,3,Bahawalpur,Pulse Masoor (Washed),277.18
2023,3,Bahawalpur,Pulse Moong (Washed),273.17
