Year,Month,City,Item,Price,Window,WindowMonthIndex
2023,3,Bahawalpur,Bananas (Kela) Local,252.32,W1,1
2023,4,Bahawalpur,Bananas (Kela) Local,300.0,W1,2
2023,5,Bahawalpur,Bananas (Kela) Local,300.0,W1,3
2023,6,Bahawalpur,Bananas (Kela) Local,240.94,W1,4
2023,7,Bahawalpur,Bananas (Kela) Local,154.29,W1,5
2023,8,Bahawalpur,Bananas (Kela) Local,138.23,W1,6
2023,9,Bahawalpur,Bananas (Kela) Local,124.07,W1,7
2023,10,Bahawalpur,Bananas (Kela) Local,126.58,W1,8
2023,11,Bahawalpur,Bananas (Kela) Local,122.41,W1,9
2023,12,Bahawalpur,Bananas (Kela) Local,112.92,W1,10
2024,1,Bahawalpur,Bananas (Kela) Local,123.02,W1,11
2024,2,Bahawalpur,Bananas (Kela) Local,137.27,W1,12
2023,3,Bahawalpur,Beef with Bone (Average Quality),632.89,W1,1
2023,4,Bahawalpur,Beef with Bone (Average Quality),632.89,W1,2
2023,5,Bahawalpur,Beef with Bone (Average Quality),649.68,W1,3
2023,6,Bahawalpur,Beef with Bone (Average Quality),706.67,W1,4
2023,7,Bahawalpur,Beef with Bone (Average Quality),782.97,W1,5
2023,8,Bahawalpur,Beef with Bone (Average Quality),782.97,W1,6
2023,9,Bahawalpur,Beef with Bone (Average Quality),782.97,W1,7
2023,10,Bahawalpur,Beef with Bone (Average Quality),782.97,W1,8
2023,11,Bahawalpur,Beef with Bone (Average Quality),782.97,W1,9
2023,12,Bahawalpur,Beef with Bone (Average Quality),782.97,W1,10
2024,1,Bahawalpur,Beef with Bone (Average Quality),782.97,W1,11
2024,2,Bahawalpur,Beef with Bone (Average Quality),782.97,W1,12
2023,3,Bahawalpur,Bread plain (Small Size),100.0,W1,1
2023,4,Bahawalpur,Bread plain (Small Size),102.41,W1,2
2023,5,Bahawalpur,Bread plain (Small Size),110.0,W1,3
2023,6,Bahawalpur,Bread plain (Small Size),110.0,W1,4
2023,7,Bahawalpur,Bread plain (Small Size),110.0,W1,5
2023,8,Bahawalpur,Bread plain (Small Size),110.0,W1,6
2023,9,Bahawalpur,Bread plain (Small Size),117.42,W1,7
2023,10,Bahawalpur,Bread plain (Small Size),120.0,W1,8
2023,11,Bahawalpur,Bread plain (Small Size),120.0,W1,9
2023,12,Bahawalpur,Bread plain (Small Size),120.0,W1,10
2024,1,Bahawalpur,Bread plain (Small Size),120.0,W1,11
2024,2,Bahawalpur,Bread plain (Small Size),120.0,W1,12
2023,3,Bahawalpur,Chicken Farm Broiler (Live),355.45,W1,1
2023,4,Bahawalpur,Chicken Farm Broiler (Live),353.64,W1,2
2023,5,Bahawalpur,Chicken Farm Broiler (Live),396.49,W1,3
2023,6,Bahawalpur,Chicken Farm Broiler (Live),411.02,W1,4
2023,7,Bahawalpur,Chicken Farm Broiler (Live),392.57,W1,5
2023,8,Bahawalpur,Chicken Farm Broiler (Live),365.69,W1,6
2023,9,Bahawalpur,Chicken Farm Broiler (Live),342.02,W1,7
2023,10,Bahawalpur,Chicken Farm Broiler (Live),322.2,W1,8
2023,11,Bahawalpur,Chicken Farm Broiler (Live),319.07,W1,9
2023,12,Bahawalpur,Chicken Farm Broiler (Live),318.16,W1,10
2024,1,Bahawalpur,Chicken Farm Broiler (Live),405.22,W1,11
