Window,City,ItemA,ItemB,CosineSimilarity
W1,Bahawalpur,Bananas (Kela) Local,Beef with Bone (Average Quality),-0.867439
W1,Bahawalpur,Bananas (Kela) Local,Bread plain (Small Size),0.012264
W1,Bahawalpur,Bananas (Kela) Local,Chicken Farm Broiler (Live),0.170224
W1,Bahawalpur,Bananas (Kela) Local,Chilies Powder NATIONAL 200 gm Packet,-0.179996
W1,Bahawalpur,Bananas (Kela) Local,Cigarettes Capstan 20'S Packet,0.0
W1,Bahawalpur,Bananas (Kela) Local,Cooked Beef at Average Hotel,-0.418856
W1,Bahawalpur,Bananas (Kela) Local,Cooked Daal at Average Hotel,-0.192791
W1,Bahawalpur,Bananas (Kela) Local,"Cooking Oil DALDA or Other Similar Brand (SN), 5 Litre Tin",0.408328
W1,Bahawalpur,Bananas (Kela) Local,Curd (Dahi) Loose,0.124801
W1,Bahawalpur,Bananas (Kela) Local,Eggs Hen (Farm),0.085743
W1,Bahawalpur,Bananas (Kela) Local,Electricity Charges upto 50 Units,-0.252741
W1,Bahawalpur,Bananas (Kela) Local,Energy Saver Philips 14 Watt,-0.179674
W1,Bahawalpur,Bananas (Kela) Local,Firewood Whole,0.005955
W1,Bahawalpur,Bananas (Kela) Local,Garlic (Lehsun),0.039222
W1,Bahawalpur,Bananas (Kela) Local,Gas Charges upto 3.3719 MMBTU,-0.070016
W1,Bahawalpur,Bananas (Kela) Local,Gents Sandal Bata,-0.065518
W1,Bahawalpur,Bananas (Kela) Local,Gents Sponge Chappal Bata,0.0
W1,Bahawalpur,Bananas (Kela) Local,Georgette (Average Quality),0.192913
W1,Bahawalpur,Bananas (Kela) Local,Gur (Average Quality),-0.104848
W1,Bahawalpur,Bananas (Kela) Local,Hi-Speed Diesel,0.042603
W1,Bahawalpur,Bananas (Kela) Local,LPG 11.67 kg Cylinder,0.426349
W1,Bahawalpur,Bananas (Kela) Local,Ladies Sandal Bata,0.0
W1,Bahawalpur,Bananas (Kela) Local,Lawn Printed Gul Ahmed/Al Karam,0.415396
W1,Bahawalpur,Bananas (Kela) Local,"Long Cloth 57"" Gul Ahmed/Al Karam",0.182933
W1,Bahawalpur,Bananas (Kela) Local,Match Box,0.172976
W1,Bahawalpur,Bananas (Kela) Local,Milk fresh (Un-boiled),-0.165719
W1,Bahawalpur,Bananas (Kela) Local,Mustard Oil (Average Quality),0.266295
W1,Bahawalpur,Bananas (Kela) Local,Mutton (Average Quality),-0.303501
W1,Bahawalpur,Bananas (Kela) Local,Onions,-0.288655
W1,Bahawalpur,Bananas (Kela) Local,Petrol Super,0.117788
W1,Bahawalpur,Bananas (Kela) Local,Potatoes,0.016958
W1,Bahawalpur,Bananas (Kela) Local,Powdered Milk NIDO 390 gm Polybag,-0.241756
W1,Bahawalpur,Bananas (Kela) Local,Pulse Gram,0.205139
W1,Bahawalpur,Bananas (Kela) Local,Pulse Mash (Washed),-0.238769
W1,Bahawalpur,Bananas (Kela) Local,Pulse Masoor (Washed),-0.109331
W1,Bahawalpur,Bananas (Kela) Local,Pulse Moong (Washed),0.309754
W1,Bahawalpur,Bananas (Kela) Local,Rice Basmati Broken (Average Quality),-0.159413
W1,Bahawalpur,Bananas (Kela) Local,Rice IRRI-6/9 (Sindh/Punjab),0.066096
W1,Bahawalpur,Bananas (Kela) Local,Salt Powdered (NATIONAL/SHAN) 800 gm Packet,-0.438442
W1,Bahawalpur,Bananas (Kela) Local,Shirting (Average Quality),-0.723278
W1,Bahawalpur,Bananas (Kela) Local,Sufi Washing Soap 250 gm Cake,0.379828
W1,Bahawalpur,Bananas (Kela) Local,Sugar Refined,-0.262095
