Window,ItemA,ItemB,SupportCities,AverageSimilarity,MaxSimilarity,CityComparisons,SupportRatio,Tau
W1,Bananas (Kela) Local,Beef with Bone (Average Quality),0,-0.05096482352941176,0.593147,17,0.0,0.6
W1,Bananas (Kela) Local,Bread plain (Small Size),0,-0.05673423529411764,0.197637,17,0.0,0.6
W1,Bananas (Kela) Local,Chicken Farm Broiler (Live),0,0.076513,0.318694,17,0.0,0.6
W1,Bananas (Kela) Local,Chilies Powder NATIONAL 200 gm Packet,0,-0.2836237058823529,-0.113516,17,0.0,0.6
W1,Bananas (Kela) Local,Cigarettes Capstan 20'S Packet,0,-0.017793588235294117,0.068751,17,0.0,0.6
W1,Bananas (Kela) Local,Cooked Beef at Average Hotel,0,-0.06846288235294118,0.413612,17,0.0,0.6
W1,Bananas (Kela) Local,Cooked Daal at Average Hotel,0,-0.0025336470588235294,0.547477,17,0.0,0.6
W1,Bananas (Kela) Local,"Cooking Oil DALDA or Other Similar Brand (SN), 5 Litre Tin",2,0.3029620625,0.751275,16,0.125,0.6
W1,Bananas (Kela) Local,Curd (Dahi) Loose,0,-0.2136455294117647,0.272166,17,0.0,0.6
W1,Bananas (Kela) Local,Eggs Hen (Farm),0,-0.07316823529411765,0.111078,17,0.0,0.6
W1,Bananas (Kela) Local,Electricity Charges upto 50 Units,0,-0.28452311764705884,-0.024997,17,0.0,0.6
W1,Bananas (Kela) Local,Energy Saver Philips 14 Watt,0,-0.17883394117647058,0.204938,17,0.0,0.6
W1,Bananas (Kela) Local,Firewood Whole,0,0.06868011764705882,0.460574,17,0.0,0.6
W1,Bananas (Kela) Local,Garlic (Lehsun),0,-0.21304829411764706,0.039222,17,0.0,0.6
W1,Bananas (Kela) Local,Gas Charges upto 3.3719 MMBTU,0,0.04046293333333333,0.178997,15,0.0,0.6
W1,Bananas (Kela) Local,Gents Sandal Bata,0,-0.10649288235294116,0.233571,17,0.0,0.6
W1,Bananas (Kela) Local,Gents Sponge Chappal Bata,0,-0.0744984705882353,0.36232,17,0.0,0.6
W1,Bananas (Kela) Local,Georgette (Average Quality),1,0.1901640588235294,0.639514,17,0.0588,0.6
W1,Bananas (Kela) Local,Gur (Average Quality),0,-0.1703691176470588,0.176785,17,0.0,0.6
W1,Bananas (Kela) Local,Hi-Speed Diesel,0,0.08290576470588235,0.313553,17,0.0,0.6
W1,Bananas (Kela) Local,LPG 11.67 kg Cylinder,1,0.30971811764705887,0.688727,17,0.0588,0.6
W1,Bananas (Kela) Local,Ladies Sandal Bata,0,-0.0744984705882353,0.36232,17,0.0,0.6
W1,Bananas (Kela) Local,Lawn Printed Gul Ahmed/Al Karam,2,0.18560782352941177,0.651032,17,0.1176,0.6
W1,Bananas (Kela) Local,"Long Cloth 57"" Gul Ahmed/Al Karam",0,0.029196235294117648,0.376006,17,0.0,0.6
W1,Bananas (Kela) Local,Match Box,0,0.012670999999999997,0.520019,17,0.0,0.6
W1,Bananas (Kela) Local,Milk fresh (Un-boiled),0,-0.15489947058823528,0.547321,17,0.0,0.6
W1,Bananas (Kela) Local,Mustard Oil (Average Quality),0,0.12323600000000001,0.593644,17,0.0,0.6
W1,Bananas (Kela) Local,Mutton (Average Quality),0,-0.03824735294117647,0.405301,17,0.0,0.6
W1,Bananas (Kela) Local,Onions,0,-0.20930882352941177,0.055192,17,0.0,0.6
W1,Bananas (Kela) Local,Petrol Super,0,0.16728070588235294,0.415907,17,0.0,0.6
W1,Bananas (Kela) Local,Potatoes,0,-0.05160664705882353,0.175489,17,0.0,0.6
W1,Bananas (Kela) Local,Powdered Milk NIDO 390 gm Polybag,0,-0.20303023529411765,0.124541,17,0.0,0.6
W1,Bananas (Kela) Local,Pulse Gram,0,0.09260376470588234,0.42497,17,0.0,0.6
W1,Bananas (Kela) Local,Pulse Mash (Washed),0,-0.19420323529411765,0.179614,17,0.0,0.6
W1,Bananas (Kela) Local,Pulse Masoor (Washed),0,0.005367882352941174,0.273166,17,0.0,0.6
W1,Bananas (Kela) Local,Pulse Moong (Washed),0,0.2058375294117647,0.478577,17,0.0,0.6
W1,Bananas (Kela) Local,Rice Basmati Broken (Average Quality),1,-0.17793376470588232,0.69123,17,0.0588,0.6
W1,Bananas (Kela) Local,Rice IRRI-6/9 (Sindh/Punjab),0,-0.07211014285714287,0.334747,14,0.0,0.6
W1,Bananas (Kela) Local,Salt Powdered (NATIONAL/SHAN) 800 gm Packet,0,-0.14615494117647057,0.2867,17,0.0,0.6
W1,Bananas (Kela) Local,Shirting (Average Quality),0,-0.053386647058823525,0.479452,17,0.0,0.6
W1,Bananas (Kela) Local,Sufi Washing Soap 250 gm Cake,0,0.1300335294117647,0.551429,17,0.0,0.6
W1,Bananas (Kela) Local,Sugar Refined,0,-0.05872888235294117,0.213193,17,0.0,0.6
W1,Bananas (Kela) Local,Tea Lipton Yellow Label 190 gm Packet,0,0.15457052941176472,0.398605,17,0.0,0.6
W1,Bananas (Kela) Local,Tea Prepared Ordinary,0,-0.1918880588235294,0.19838,17,0.0,0.6
W1,Bananas (Kela) Local,Telephone Call Charges,0,0.0,0.0,17,0.0,0.6
W1,Bananas (Kela) Local,Toilet Soap LIFEBUOY 115 gm,0,-0.26928041176470585,0.343106,17,0.0,0.6
W1,Bananas (Kela) Local,Tomatoes,0,-0.3532308823529412,-0.040838,17,0.0,0.6
W1,Bananas (Kela) Local,Vegetable Ghee DALDA/HABIB 2.5 kg Tin,1,0.34048541176470587,0.750593,17,0.0588,0.6
W1,Bananas (Kela) Local,Vegetable Ghee DALDA/HABIB or Other Superior Quality 1 kg Pouch,0,0.3168434,0.55732,15,0.0,0.6
W1,Bananas (Kela) Local,Wheat Flour Bag,0,0.11439511764705881,0.58836,17,0.0,0.6
W1,Beef with Bone (Average Quality),Bread plain (Small Size),1,0.24228382352941177,0.720176,17,0.0588,0.6
W1,Beef with Bone (Average Quality),Chicken Farm Broiler (Live),0,0.14223882352941178,0.579406,17,0.0,0.6
W1,Beef with Bone (Average Quality),Chilies Powder NATIONAL 200 gm Packet,0,0.1069310588235294,0.598858,17,0.0,0.6
W1,Beef with Bone (Average Quality),Cigarettes Capstan 20'S Packet,0,-0.04823258823529412,0.16635,17,0.0,0.6
W1,Beef with Bone (Average Quality),Cooked Beef at Average Hotel,6,0.4170768235294118,0.838021,17,0.3529,0.6
W1,Beef with Bone (Average Quality),Cooked Daal at Average Hotel,4,0.3719107058823529,0.798623,17,0.2353,0.6
W1,Beef with Bone (Average Quality),"Cooking Oil DALDA or Other Similar Brand (SN), 5 Litre Tin",0,-0.3820200625,-0.014545,16,0.0,0.6
W1,Beef with Bone (Average Quality),Curd (Dahi) Loose,3,0.37024864705882354,0.896605,17,0.1765,0.6
W1,Beef with Bone (Average Quality),Eggs Hen (Farm),0,-0.026683588235294126,0.371202,17,0.0,0.6
W1,Beef with Bone (Average Quality),Electricity Charges upto 50 Units,0,0.04683764705882353,0.250536,17,0.0,0.6
W1,Beef with Bone (Average Quality),Energy Saver Philips 14 Watt,3,0.2515329411764706,0.814192,17,0.1765,0.6
W1,Beef with Bone (Average Quality),Firewood Whole,0,0.10096217647058824,0.555342,17,0.0,0.6
W1,Beef with Bone (Average Quality),Garlic (Lehsun),0,0.11210111764705882,0.535681,17,0.0,0.6
W1,Beef with Bone (Average Quality),Gas Charges upto 3.3719 MMBTU,1,0.16335666666666665,0.634994,15,0.0667,0.6
W1,Beef with Bone (Average Quality),Gents Sandal Bata,2,0.26820176470588236,0.683085,17,0.1176,0.6
W1,Beef with Bone (Average Quality),Gents Sponge Chappal Bata,3,0.2556675882352941,0.722343,17,0.1765,0.6
W1,Beef with Bone (Average Quality),Georgette (Average Quality),3,0.3123251764705883,0.902788,17,0.1765,0.6
W1,Beef with Bone (Average Quality),Gur (Average Quality),1,0.20839329411764704,0.67402,17,0.0588,0.6
W1,Beef with Bone (Average Quality),Hi-Speed Diesel,0,-0.12749376470588233,0.323897,17,0.0,0.6
W1,Beef with Bone (Average Quality),LPG 11.67 kg Cylinder,0,-0.2263668823529412,0.199432,17,0.0,0.6
W1,Beef with Bone (Average Quality),Ladies Sandal Bata,3,0.2556675882352941,0.722343,17,0.1765,0.6
W1,Beef with Bone (Average Quality),Lawn Printed Gul Ahmed/Al Karam,3,0.2494918235294118,0.905425,17,0.1765,0.6
W1,Beef with Bone (Average Quality),"Long Cloth 57"" Gul Ahmed/Al Karam",4,0.2916185294117647,0.765797,17,0.2353,0.6
W1,Beef with Bone (Average Quality),Match Box,2,0.19518270588235295,0.640487,17,0.1176,0.6
W1,Beef with Bone (Average Quality),Milk fresh (Un-boiled),2,0.2999997058823529,0.692577,17,0.1176,0.6
W1,Beef with Bone (Average Quality),Mustard Oil (Average Quality),0,-0.2918811176470588,0.102207,17,0.0,0.6
W1,Beef with Bone (Average Quality),Mutton (Average Quality),10,0.7027644705882353,0.953362,17,0.5882,0.6
W1,Beef with Bone (Average Quality),Onions,0,-0.002053000000000004,0.565867,17,0.0,0.6
W1,Beef with Bone (Average Quality),Petrol Super,0,-0.06257247058823528,0.395283,17,0.0,0.6
W1,Beef with Bone (Average Quality),Potatoes,0,0.184889,0.555233,17,0.0,0.6
W1,Beef with Bone (Average Quality),Powdered Milk NIDO 390 gm Polybag,2,0.25763429411764704,0.691223,17,0.1176,0.6
W1,Beef with Bone (Average Quality),Pulse Gram,0,-0.1375071176470588,0.499658,17,0.0,0.6
